zipcode,day,neighborhood_name,borough_group,positive,covid_case_rate,covid_death_count,covid_death_rate,incidence_rate,newcases,pop_denominator
10457,2020-08-02,Belmont/Claremont/Mount Hope/Tremont,Bronx,2419,3238.93,186,249.05,2.6779139050679523,2,74685
10458,2020-08-02,Belmont/Fordham University/Kingsbridge,Bronx,2307,2752.73,126,150.34,1.1932035127911418,1,83808
10459,2020-08-02,Charlotte Gardens/Hunts Point,Bronx,1627,3364.73,166,343.3,2.0680384655154587,1,48355
10460,2020-08-02,Charlotte Gardens/Tremont/Van Nest/West Farms,Bronx,1816,3022.98,127,211.41,4.993924059061475,3,60073
10461,2020-08-02,Morris Park/Pelham Bay/Westchester Square,Bronx,1949,3939,138,278.9,6.063055780113177,3,49480
10462,2020-08-02,Parkchester/Pelham Parkway/Van Nest/Westchester Square,Bronx,2416,3124.18,183,236.64,0,0,77332
10463,2020-08-02,Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil,Bronx,2199,3084.7,214,300.19,4.208340931726682,3,71287
10464,2020-08-02,City Island,Bronx,132,3032.28,9,206.75,0,0,4353
10465,2020-08-02,Country Club/Throgs Neck,Bronx,1571,3650.9,85,197.53,6.971880083662561,3,43030
10466,2020-08-02,Edenwald/Wakefield,Bronx,2554,3539.03,168,232.79,2.771349785913229,2,72167
10467,2020-08-02,Allerton/Norwood/Pelham Parkway/Williamsbridge,Bronx,3714,3685.11,319,316.52,2.97666296237498,3,100784
